platform,trend_hashtag,engagement_rate,avg_likes,avg_shares,best_posting_time,target_demographic
Instagram,#FashionTrends2025,4.02,32975,4437,10:00,18-24
Facebook,#OOTD,2.69,8125,1581,13:00,25-34
TikTok,#Fashionista,6.38,25316,4771,16:00,18-24
Pinterest,#StreetStyle,6.11,25201,1391,10:00,25-34
Twitter,#Minimalist,5.55,17381,261,21:00,35-44
Instagram,#ShopLocal,7.85,22820,3658,12:00,18-24
Facebook,#SustainableFashion,6.59,49369,1088,17:00,25-34
TikTok,#VintageFashion,2.56,25045,2327,15:00,18-24
Pinterest,#LuxuryStyle,3.41,22647,1474,19:00,25-34
Twitter,#CasualChic,6.6,49513,2820,18:00,35-44
Instagram,#FashionInspo,4.26,16397,2627,20:00,18-24
Facebook,#StyleDiaries,5.21,8591,4830,19:00,25-34
TikTok,#TrendAlert,3.75,14138,901,9:00,18-24
Pinterest,#FashionWeek,5.72,35476,550,16:00,25-34
Twitter,#DesignerWear,7.01,46088,1989,19:00,35-44
Instagram,#EthnicWear,4.08,22769,2082,17:00,18-24
Facebook,#ModernFashion,3.21,30925,2255,12:00,25-34
TikTok,#ChicStyle,4.44,11057,2204,19:00,18-24
Pinterest,#FashionGoals,4.03,30119,4814,21:00,25-34
Twitter,#WardrobeEssentials,5.72,47535,4970,9:00,35-44
