User ID,Satisfaction (1-5),Ease of Use (1-5),Ad Quality (1-5),Task Completion,Time to Complete (min),Would Recommend
U001,5,5,5,Yes,2.6,Yes
U002,5,4,4,Yes,5.2,Yes
U003,4,5,5,Yes,6.5,Yes
U004,5,3,5,Yes,2.5,Yes
U005,5,4,4,Yes,5.6,Yes
U006,4,4,4,Yes,4.5,Yes
U007,5,4,5,Yes,4.9,Yes
U008,4,4,4,Yes,3.7,Yes
U009,5,5,4,Yes,4.0,Yes
U010,5,5,3,Yes,4.9,Yes
U011,5,4,3,Yes,2.7,Yes
U012,5,5,5,Yes,6.6,Yes
U013,5,3,5,Yes,6.3,Yes
U014,5,4,4,Yes,3.9,Yes
U015,4,5,4,Yes,2.7,Yes
U016,5,4,4,Yes,3.1,Yes
U017,5,4,5,Yes,4.3,Yes
U018,5,5,5,Yes,5.4,Yes
U019,5,5,3,Yes,3.3,Yes
U020,4,3,4,Yes,3.2,Yes
U021,5,4,5,Yes,6.6,Yes
U022,5,4,4,Yes,6.4,Yes
U023,4,5,3,Yes,5.9,Yes
U024,5,5,4,Yes,6.5,Yes
U025,4,5,5,Yes,5.0,Yes
U026,5,5,3,Yes,6.3,Yes
U027,5,4,5,Yes,6.6,Yes
U028,5,4,3,Yes,5.0,Yes
U029,5,4,5,Yes,4.7,Yes
U030,5,5,4,Yes,6.5,Yes
